representation,rep,seed,target,family,val_accuracy,val_balanced_accuracy,val_auc,val_log_loss,test_accuracy,test_balanced_accuracy,test_auc,test_log_loss,val_r2,val_mae,val_spearman,test_r2,test_mae,test_spearman
raw window (160d),raw,20260814,direction_1,linear,0.5445544554455446,0.5262317591084714,0.5368010984449341,0.6995336863890406,0.5298804780876494,0.5168582375478927,0.5207335568326947,0.7057064858051616,,,,,,
raw window (160d),raw,20260814,direction_1,gbdt,0.5148514851485149,0.49679886323721945,0.5195421017338826,0.7286867033349841,0.5398406374501992,0.528544061302682,0.5243574393358876,0.7325104746756254,,,,,,
raw window (160d),raw,20260814,direction_1,mlp,0.5485148514851486,0.528123702781237,0.5573809751891944,0.717825918625796,0.5219123505976095,0.5100574712643677,0.4991219667943806,0.7263783833637995,,,,,,
raw window (160d),raw,20260814,magnitude_1,linear,,,,,,,,,0.3062075315526649,0.6656110367726962,0.3873282604812096,0.010475338081085472,0.5407963737018369,0.3249194034265147
raw window (160d),raw,20260814,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,20260814,magnitude_1,mlp,,,,,,,,,0.17932391710084306,0.6922217674561213,0.35907367970664344,-0.07072894295907828,0.5733240137198623,0.24166432213635688
raw window (160d),raw,20260814,vol_20,linear,,,,,,,,,0.3393606757668627,0.6206503081463834,0.46993922994783954,0.3796492482466701,0.33278022411270103,0.5688249709125731
raw window (160d),raw,20260814,vol_20,gbdt,,,,,,,,,0.0930902238495257,0.7162793857172186,0.5633372654035591,0.2884100298264345,0.3516651059536139,0.5859980923971884
raw window (160d),raw,20260814,vol_20,mlp,,,,,,,,,0.0864923414223705,0.7245657172223758,0.4070632839681484,0.057649668216439465,0.41757577766710086,0.44701665837510723
raw window (160d),raw,111,direction_1,linear,0.5445544554455446,0.5262317591084714,0.5368010984449341,0.6995336863890406,0.5298804780876494,0.5168582375478927,0.5207335568326947,0.7057064858051616,,,,,,
raw window (160d),raw,111,direction_1,gbdt,0.5148514851485149,0.49679886323721945,0.5195421017338826,0.7286867033349841,0.5398406374501992,0.528544061302682,0.5243574393358876,0.7325104746756254,,,,,,
raw window (160d),raw,111,direction_1,mlp,0.5485148514851486,0.528123702781237,0.5573809751891944,0.717825918625796,0.5219123505976095,0.5100574712643677,0.4991219667943806,0.7263783833637995,,,,,,
raw window (160d),raw,111,magnitude_1,linear,,,,,,,,,0.3062075315526649,0.6656110367726962,0.3873282604812096,0.010475338081085472,0.5407963737018369,0.3249194034265147
raw window (160d),raw,111,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,111,magnitude_1,mlp,,,,,,,,,0.17932391710084306,0.6922217674561213,0.35907367970664344,-0.07072894295907828,0.5733240137198623,0.24166432213635688
raw window (160d),raw,111,vol_20,linear,,,,,,,,,0.3393606757668627,0.6206503081463834,0.46993922994783954,0.3796492482466701,0.33278022411270103,0.5688249709125731
raw window (160d),raw,111,vol_20,gbdt,,,,,,,,,0.0930902238495257,0.7162793857172186,0.5633372654035591,0.2884100298264345,0.3516651059536139,0.5859980923971884
raw window (160d),raw,111,vol_20,mlp,,,,,,,,,0.0864923414223705,0.7245657172223758,0.4070632839681484,0.057649668216439465,0.41757577766710086,0.44701665837510723
raw window (160d),raw,222,direction_1,linear,0.5445544554455446,0.5262317591084714,0.5368010984449341,0.6995336863890406,0.5298804780876494,0.5168582375478927,0.5207335568326947,0.7057064858051616,,,,,,
raw window (160d),raw,222,direction_1,gbdt,0.5148514851485149,0.49679886323721945,0.5195421017338826,0.7286867033349841,0.5398406374501992,0.528544061302682,0.5243574393358876,0.7325104746756254,,,,,,
raw window (160d),raw,222,direction_1,mlp,0.5485148514851486,0.528123702781237,0.5573809751891944,0.717825918625796,0.5219123505976095,0.5100574712643677,0.4991219667943806,0.7263783833637995,,,,,,
raw window (160d),raw,222,magnitude_1,linear,,,,,,,,,0.3062075315526649,0.6656110367726962,0.3873282604812096,0.010475338081085472,0.5407963737018369,0.3249194034265147
raw window (160d),raw,222,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,222,magnitude_1,mlp,,,,,,,,,0.17932391710084306,0.6922217674561213,0.35907367970664344,-0.07072894295907828,0.5733240137198623,0.24166432213635688
raw window (160d),raw,222,vol_20,linear,,,,,,,,,0.3393606757668627,0.6206503081463834,0.46993922994783954,0.3796492482466701,0.33278022411270103,0.5688249709125731
raw window (160d),raw,222,vol_20,gbdt,,,,,,,,,0.0930902238495257,0.7162793857172186,0.5633372654035591,0.2884100298264345,0.3516651059536139,0.5859980923971884
raw window (160d),raw,222,vol_20,mlp,,,,,,,,,0.0864923414223705,0.7245657172223758,0.4070632839681484,0.057649668216439465,0.41757577766710086,0.44701665837510723
raw window (160d),raw,333,direction_1,linear,0.5445544554455446,0.5262317591084714,0.5368010984449341,0.6995336863890406,0.5298804780876494,0.5168582375478927,0.5207335568326947,0.7057064858051616,,,,,,
raw window (160d),raw,333,direction_1,gbdt,0.5148514851485149,0.49679886323721945,0.5195421017338826,0.7286867033349841,0.5398406374501992,0.528544061302682,0.5243574393358876,0.7325104746756254,,,,,,
raw window (160d),raw,333,direction_1,mlp,0.5485148514851486,0.528123702781237,0.5573809751891944,0.717825918625796,0.5219123505976095,0.5100574712643677,0.4991219667943806,0.7263783833637995,,,,,,
raw window (160d),raw,333,magnitude_1,linear,,,,,,,,,0.3062075315526649,0.6656110367726962,0.3873282604812096,0.010475338081085472,0.5407963737018369,0.3249194034265147
raw window (160d),raw,333,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,333,magnitude_1,mlp,,,,,,,,,0.17932391710084306,0.6922217674561213,0.35907367970664344,-0.07072894295907828,0.5733240137198623,0.24166432213635688
raw window (160d),raw,333,vol_20,linear,,,,,,,,,0.3393606757668627,0.6206503081463834,0.46993922994783954,0.3796492482466701,0.33278022411270103,0.5688249709125731
raw window (160d),raw,333,vol_20,gbdt,,,,,,,,,0.0930902238495257,0.7162793857172186,0.5633372654035591,0.2884100298264345,0.3516651059536139,0.5859980923971884
raw window (160d),raw,333,vol_20,mlp,,,,,,,,,0.0864923414223705,0.7245657172223758,0.4070632839681484,0.057649668216439465,0.41757577766710086,0.44701665837510723
raw window (160d),raw,444,direction_1,linear,0.5445544554455446,0.5262317591084714,0.5368010984449341,0.6995336863890406,0.5298804780876494,0.5168582375478927,0.5207335568326947,0.7057064858051616,,,,,,
raw window (160d),raw,444,direction_1,gbdt,0.5148514851485149,0.49679886323721945,0.5195421017338826,0.7286867033349841,0.5398406374501992,0.528544061302682,0.5243574393358876,0.7325104746756254,,,,,,
raw window (160d),raw,444,direction_1,mlp,0.5485148514851486,0.528123702781237,0.5573809751891944,0.717825918625796,0.5219123505976095,0.5100574712643677,0.4991219667943806,0.7263783833637995,,,,,,
raw window (160d),raw,444,magnitude_1,linear,,,,,,,,,0.3062075315526649,0.6656110367726962,0.3873282604812096,0.010475338081085472,0.5407963737018369,0.3249194034265147
raw window (160d),raw,444,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,444,magnitude_1,mlp,,,,,,,,,0.17932391710084306,0.6922217674561213,0.35907367970664344,-0.07072894295907828,0.5733240137198623,0.24166432213635688
raw window (160d),raw,444,vol_20,linear,,,,,,,,,0.3393606757668627,0.6206503081463834,0.46993922994783954,0.3796492482466701,0.33278022411270103,0.5688249709125731
raw window (160d),raw,444,vol_20,gbdt,,,,,,,,,0.0930902238495257,0.7162793857172186,0.5633372654035591,0.2884100298264345,0.3516651059536139,0.5859980923971884
raw window (160d),raw,444,vol_20,mlp,,,,,,,,,0.0864923414223705,0.7245657172223758,0.4070632839681484,0.057649668216439465,0.41757577766710086,0.44701665837510723
raw window (160d),raw,555,direction_1,linear,0.5445544554455446,0.5262317591084714,0.5368010984449341,0.6995336863890406,0.5298804780876494,0.5168582375478927,0.5207335568326947,0.7057064858051616,,,,,,
raw window (160d),raw,555,direction_1,gbdt,0.5148514851485149,0.49679886323721945,0.5195421017338826,0.7286867033349841,0.5398406374501992,0.528544061302682,0.5243574393358876,0.7325104746756254,,,,,,
raw window (160d),raw,555,direction_1,mlp,0.5485148514851486,0.528123702781237,0.5573809751891944,0.717825918625796,0.5219123505976095,0.5100574712643677,0.4991219667943806,0.7263783833637995,,,,,,
raw window (160d),raw,555,magnitude_1,linear,,,,,,,,,0.3062075315526649,0.6656110367726962,0.3873282604812096,0.010475338081085472,0.5407963737018369,0.3249194034265147
raw window (160d),raw,555,magnitude_1,gbdt,,,,,,,,,0.3206052741276817,0.6438899129542421,0.4923530666502926,0.0763210566078264,0.5284407228132881,0.3588453061427162
raw window (160d),raw,555,magnitude_1,mlp,,,,,,,,,0.17932391710084306,0.6922217674561213,0.35907367970664344,-0.07072894295907828,0.5733240137198623,0.24166432213635688
